"x"	"y"
-10	-10
-9.8238747553816	-9.76516634050881
-9.64774951076321	-9.53033268101761
-9.47162426614481	-9.29549902152642
-9.29549902152642	-9.06066536203523
-9.11937377690802	-8.82583170254403
-8.94324853228963	-8.59099804305284
-8.76712328767123	-8.35616438356164
-8.59099804305284	-8.12133072407045
-8.41487279843444	-7.88649706457926
-8.23874755381605	-7.65166340508806
-8.06262230919765	-7.41682974559687
-7.88649706457926	-7.18199608610568
-7.71037181996086	-6.94716242661448
-7.53424657534247	-6.71232876712329
-7.35812133072407	-6.47749510763209
-7.18199608610568	-6.2426614481409
-7.00587084148728	-6.00782778864971
-6.82974559686888	-5.77299412915851
-6.65362035225049	-5.53816046966732
-6.47749510763209	-5.30332681017613
-6.3013698630137	-5.06849315068493
-6.1252446183953	-4.83365949119374
-5.94911937377691	-4.59882583170254
-5.77299412915851	-4.36399217221135
-5.59686888454012	-4.12915851272016
-5.42074363992172	-3.89432485322896
-5.24461839530333	-3.65949119373777
-5.06849315068493	-3.42465753424658
-4.89236790606654	-3.18982387475538
-4.71624266144814	-2.95499021526419
-4.54011741682975	-2.72015655577299
-4.36399217221135	-2.4853228962818
-4.18786692759295	-2.25048923679061
-4.01174168297456	-2.01565557729941
-3.83561643835616	-1.78082191780822
-3.65949119373777	-1.54598825831703
-3.48336594911937	-1.31115459882583
-3.30724070450098	-1.07632093933464
-3.13111545988258	-0.841487279843445
-2.95499021526419	-0.606653620352251
-2.77886497064579	-0.371819960861057
-2.6027397260274	-0.136986301369863
-2.426614481409	0.0978473581213297
-2.25048923679061	0.332681017612524
-2.07436399217221	0.567514677103718
-1.89823874755382	0.80234833659491
-1.72211350293542	1.0371819960861
-1.54598825831703	1.2720156555773
-1.36986301369863	1.50684931506849
-1.19373776908023	1.74168297455969
-1.01761252446184	1.97651663405088
-0.841487279843445	2.21135029354207
-0.66536203522505	2.44618395303327
-0.489236790606654	2.68101761252446
-0.313111545988258	2.91585127201565
-0.136986301369863	3.15068493150685
0.0391389432485312	3.38551859099804
0.215264187866927	3.62035225048924
0.391389432485322	3.85518590998043
0.567514677103718	4.09001956947162
0.743639921722114	4.32485322896282
