"X"	"Y"
"1"	2.08344752358971	100.369729643688
"2"	-2.90838514541974	98.3710310533643
"3"	-5.40430148044834	93.873959233053
"4"	-6.40266801440157	86.3788395235315
"5"	-3.90675167943118	80.8824184136465
"6"	-0.412468811438885	76.8850212339312
"7"	3.58099732454866	73.3872987031937
"8"	6.07691365858773	69.8895761733875
"9"	9.57119652756955	64.3931550532579
"10"	12.5662961296039	59.896083233878
"11"	17.0589455315494	53.4003128232434
"12"	20.0540451335837	47.9038917031139
"13"	22.5499614675646	44.9058438232169
"14"	25.0458778025932	41.4081212934107
"15"	28.0409774035797	36.9110494730994
"16"	33.0328100735787	29.4159297635779
"17"	38.0246427425882	21.4211354134604
"18"	40.0213758105529	17.9234128836542
"19"	43.5156586786034	13.426341063343
"20"	48.5074913486023	7.43024529330432
"21"	51.5025909495889	3.93252276349813
"22"	54.9968738185707	-0.564549056813121
"23"	57.9919734195573	-5.06162087619305
"24"	60.9870730215916	-7.06031946651638
"25"	64.9805391565897	-5.56129552610219
"26"	67.9756387585658	-0.564549056813121
"27"	69.4731885595829	1.93382418341935
"28"	69.9723718265886	7.92991994321346
"29"	67.9756387585658	10.9279678231105
"30"	66.9772722245543	14.9253650037572
"31"	63.482989356562	19.9221114730462
"32"	60.4878897545859	23.9195086536929
"33"	56.9936068856041	28.9162551239133
"34"	53.4993240175536	34.9123508837074
"35"	49.5058578825556	38.9097480634227
"36"	46.5107582805795	41.4081212934107
"37"	41.51892561157	47.4042170634493
"38"	39.0230092765996	51.9012888837606
"39"	34.0311766075902	60.3957578837872
"40"	30.5368937385501	66.3918536435813
"41"	28.0409774035797	74.8863226436079
"42"	26.5434276035521	83.8804662935436
"43"	25.5450610695989	90.875911353156
"44"	22.0507782005589	97.8713564136997
"45"	17.0589455315494	100.369729643688
"46"	10.0703797945753	100.869404293597
"47"	6.57609692559345	100.369729643688
