"nest"	"X"	"Y"
"1"	1	3.69719709248956	90.2082115390623
"2"	2	53.7257844858013	27.1749536564124
"3"	3	37.1249526469725	40.4054930352234
"4"	4	11.3239092545212	86.9360641724963
"5"	5	54.4493334857574	1.80319142107701
"6"	6	28.496145129517	62.4609811412266
"7"	7	61.3516574926431	7.60720588033037
"8"	8	49.5534414513344	20.9641193443107
"9"	9	69.8274372974442	7.01803127742958
"10"	10	54.3462071163877	13.0309028449661
"11"	11	52.2235644033429	22.9924237870117
"12"	12	52.6353100143799	22.8564749038932
"13"	13	66.9650330210965	9.99118172718003
"14"	14	28.4105546256041	48.1590071077824
"15"	15	54.8168453689271	17.2812985077216
"16"	16	44.1634251566317	35.6038624410962
"17"	17	67.3475684585631	2.90403661126213
"18"	18	30.9530644616106	34.7885237076558
"19"	19	57.9843654790065	0.413147522325996
"20"	20	54.5852947824026	8.61217120337579
"21"	21	63.3608241169025	15.2399376233262
"22"	22	65.8236017100565	15.474696914454
"23"	23	51.3308405101189	26.833471846893
"24"	24	51.4883210045782	21.4425803431226
"25"	25	64.6389126432568	11.1494187870892
"26"	26	44.7020574157255	20.200309301929
"27"	27	64.1952038949583	14.8792843361369
"28"	28	62.6827082832704	20.6899048303404
"29"	29	21.6906640924402	96.7578730851987
"30"	30	47.6985937171494	34.2562058096954
"31"	31	27.9788638736316	71.6690808616316
"32"	32	52.4224499272198	18.7115668409844
"33"	33	62.6077972612434	17.5738077517565
"34"	34	54.1093106535582	17.7477839740578
"35"	35	68.3936822859953	5.34767473332296
"36"	36	65.5284196402082	1.8950878135704
"37"	37	42.6523790874426	43.6959437009612
"38"	38	39.7279164527382	22.1237194940178
"39"	39	38.8043863942745	40.5939647110568
"40"	40	52.7709816540914	28.0574724512295
"41"	41	19.9004300453237	76.9439636957356
"42"	42	58.1072887988505	-1.41253469188673
"43"	43	34.8507476109912	51.2474307043647
"44"	44	44.4451642896743	29.1167932524299
"45"	45	67.277766844048	9.54146984968949
"46"	46	50.2293522388386	31.5621843311876
"47"	47	68.410161266698	2.10481436722415
"48"	48	47.4361258703644	22.4372885732678
"49"	49	54.1608992754122	2.91393824719245
"50"	50	49.8047447888042	24.5344871828938
"51"	51	58.3106117602232	13.9717223529822
"52"	52	5.38659831503179	82.2512400851722
"53"	53	58.9558127678106	4.45459291367064
"54"	54	16.8001222800472	98.3786689968535
"55"	55	15.9827251701646	78.7041619844774
"56"	56	60.0960050391563	6.87437134285284
"57"	57	53.2567364142378	32.2930514363287
"58"	58	54.8233604900617	13.3259908478712
"59"	59	50.6321441866843	14.5166041236672
"60"	60	35.6852093105698	26.4779060982988
"61"	61	20.5247495619446	68.2197123425603
"62"	62	65.3139398484822	2.16525944868859
"63"	63	17.6718919930684	75.6736576558639
"64"	64	50.1399669916988	29.9697429698592
"65"	65	58.6080021697037	-0.628510802003842
"66"	66	47.6018244574005	21.6634628785927
"67"	67	50.0083524908188	31.4778585426244
"68"	68	58.8485234074937	-4.39388018962033
"69"	69	9.43882600571567	68.2022952327571
"70"	70	50.6379902410655	27.6323836333577
"71"	71	67.3892278584214	9.57254506195314
"72"	72	15.6819496592474	82.4178103315893
"73"	73	66.1738310597429	-1.44785518575778
"74"	74	45.3390506753984	31.0692703845452
"75"	75	44.1888367756962	18.9709968198928
"76"	76	5.25417867706598	81.6357967148679
"77"	77	51.8358396337552	27.1592393415956
"78"	78	50.049545488558	31.2167875046641
"79"	79	49.7833792660867	31.0861698411859
"80"	80	50.2351574142854	14.0287782500112
"81"	81	65.3329992285111	1.66825258261479
"82"	82	59.5933506458466	0.290346398593167
"83"	83	62.3425797426044	8.45454024078854
"84"	84	52.4665988915675	27.5176690280809
"85"	85	69.2587970121079	4.92266519775581
"86"	86	24.9160048471031	71.9349148742155
"87"	87	65.459169269269	2.01829695603266
"88"	88	46.8338413672146	17.227095644803
"89"	89	48.2793378820699	22.2453745271284
"90"	90	19.7709337666497	75.2873015086696
"91"	91	54.3258441042778	26.4957139743567
"92"	92	40.2390042014298	18.9614533576504
"93"	93	16.534519919189	74.2786506776951
"94"	94	65.2015133807371	16.0278297409397
